	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.9)	73	13880	62	616	249	2646	16	2817	139	2257	969	4372	5084	1484	1984	1775	2841	4474	204	1881	7468	3335	193	2616	2513	113	1175	12842
8-amino-7-oxononanoate synthase (EC 2.3.1.47)	10	134	9	168	7	209	5	349	16	459	75	3632	50	43	758	1117	6	1744	253	278	4685	1837	36	4	2076	2	228	2
A/G-specific adenine glycosylase (EC 3.2.2.-)	3	8	6	399	3	317	5	294	5	208	3	118	3	179	292	120	398	270	43	334	423	348	37	5	142	4	71	4
AA3-600 quinol oxidase subunit II	1	1	1	1	1	1	5	5	1	1	1	5	566	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1
ABC transporter ATP-binding protein uup	616	1147	1735	1217	2159	639	1121	895	616	1083	819	175	583	1003	842	534	485	701	137	1075	605	268	1481	363	252	935	630	1132
ABC transporter in pyoverdin gene cluster, ATP-binding component	3	4	1	4	4	2085	9	394	5	4785	6	1435	3	3726	792	1302	1	817	1	357	2379	1111	6	1	1272	2	1898	6
ABC transporter in pyoverdin gene cluster, periplasmic component	0	0	4	0	2	2677	4	38	0	3376	0	174	2	4319	420	221	2	549	3	115	384	47	1	2	9	0	1674	3
ABC transporter in pyoverdin gene cluster, permease component	1	0	0	0	0	606	1	32	0	1279	0	116	0	1460	143	230	0	183	2	55	143	53	2	0	2	1	1566	0
ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA	0	1	0	0	0	0	0	40	2	107	1	412	0	2	114	211	0	328	1	38	793	279	0	0	272	0	38	0
ABC transporter involved in cytochrome c biogenesis, CcmB subunit	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC transporter membrane-spanning permease, Pep export, Vex1	5	4	2	94	1	18	1	93	45	18	1	121	1	9	100	68	1	81	11	68	126	89	6	2	169	1	4	1
ABC transporter membrane-spanning permease, Pep export, Vex3	8	2	7	116	1	131	2	200	100	491	1	861	1	31	113	139	1	132	55	38	356	141	7	2	204	2	7	1
ABC transporter multidrug efflux pump, fused ATP-binding domains	1	0	4	0	1	189	1	28	12	134	1	166	55	122	95	75	0	198	8	47	106	201	4	1	3	0	31	0
ABC transporter permease protein YvcS	0	0	0	0	0	2	0	3	0	19	0	8	0	2	5	5	0	5	0	10	24	10	1	0	0	0	1	1
ABC transporter, ATP-binding protein Vex2	12	28	9	74	2	241	2	154	72	178	21	184	23	79	70	51	2	93	32	27	201	90	7	3	118	2	53	2
ABC transporter, periplasmic spermidine putrescine-binding protein PotD (TC 3.A.1.11.1)	493	2702	1088	1125	1387	616	586	772	562	1728	1401	118	1261	1009	515	862	14	842	60	1049	468	163	1033	760	276	1352	1097	943
ABC transporter, predicted N-acetylneuraminate transport system permease protein 1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0
ABC transporter, predicted N-acetylneuraminate transport system permease protein 2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	1	0	0	0	0	0
ABC transporter, predicted N-acetylneuraminate-binding protein	0	0	0	0	0	13	0	2	0	2	0	5	0	0	3	0	0	3	14	3	7	9	1	0	2	0	1	0
ABC-type Fe3+-siderophore transport system, periplasmic iron-binding component	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
ABC-type Fe3+-siderophore transport system, permease 2 component	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ABC-type hemin transport system, ATPase component	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	5	2	65	2	1	1	1	1
ABC-type multidrug transport system, ATPase component	285	26	73	5472	11	298	19	4536	1836	2674	7	3232	13	1187	3974	1971	10	1926	31	5173	12325	10476	254	24	4990	4	902	5
ABC-type multidrug transport system, permease component	11	1	0	151	0	5	0	70	162	163	0	4	0	7	58	0	0	6	0	5	34	24	0	1	29	0	30	0
ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	6	2	1	45	1	112	1	319	18	190	1	68	1	84	28	77	186	92	2	123	141	533	1	1	22	1	70	2
ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	1	2	1	2	1	6	1	2	1	5	1	5	1	9	2	3	1	1	1	5	1	3	4	1	1	1	4	1
ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	1	8	3	92	3	93	1	138	67	406	1	124	1	332	168	62	286	93	2	164	395	146	7	2	34	2	114	1
ABC-type polar amino acid transport system, ATPase component	0	0	0	0	1	3	1	37	18	5	1	10	0	4	4	2	1	0	2	0	0	7	4	0	2	1	0	0
ABC-type sugar transport system, periplasmic binding protein YcjN	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ABC-type transport system involved in resistance to organic solvents, periplasmic component USSDB6C	1	0	0	50	1	28	0	12	13	17	0	28	1	17	12	8	15	19	86	17	38	38	17	0	11	0	9	0
ABC-type transport system involved in resistance to organic solvents, permease component USSDB6A	1	8	3	1	3	203	3	146	9	345	2	1817	3	95	399	550	4	906	1	120	1249	762	3	2	568	1	75	1
Accessory colonization factor AcfD precursor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Accessory secretory protein Asp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0
Accessory secretory protein Asp2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
Accessory secretory protein Asp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	1	0	0	0	0
Acetaldehyde dehydrogenase (EC 1.2.1.10)	1838	9165	848	1824	1718	11774	667	1139	5265	5816	9029	3911	7984	6751	4429	5013	141	4477	191	1834	6084	1220	1090	1331	2773	8418	3651	6599
Acetaldehyde dehydrogenase, ethanolamine utilization cluster	0	1	2	0	0	60	0	7	26	27	0	24	1	8	3	37	0	22	0	2	25	4	8	1	4	0	0	0
Acetate kinase (EC 2.7.2.1)	4330	9796	4463	9253	6901	7998	2375	12363	4054	11126	5374	11052	4298	10249	9547	6211	9335	10992	1152	11212	28105	16331	9045	4315	6998	7404	9626	5550
Acetate permease ActP (cation/acetate symporter)	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Acetoacetate metabolism regulatory protein AtoC	0	0	0	0	0	48	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0
Acetoacetyl-CoA reductase (EC 1.1.1.36)	0	0	0	0	0	3	0	0	0	8	0	10	0	16	3	0	0	0	0	1	1	5	0	0	0	0	0	0
Acetoin (diacetyl) reductase (EC 1.1.1.5)	11	7	1	2	6	1	1	2	78	2	3	1	1	1	1	1	1	1	434	1	2	1	38	3	1	4	13	35
Acetoin dehydrogenase E1 component alpha-subunit (EC 1.2.4.-)	3	5	5	6	3	2966	10	225	7	12415	3	869	6	4310	352	527	3	132	95	255	1359	688	11	2	13	1	1266	1
Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	5	9	4	5	4	2120	12	204	9	9435	3	686	6	3570	303	398	5	114	55	187	760	537	11	4	6	2	1328	1
Acetolactate synthase large subunit (EC 2.2.1.6)	3	3	2	15	3	31	1	766	3	38	3	11	2	24	272	90	1899	1339	8	40	127	22	53	1	16	1	23	1
Acetolactate synthase small subunit (EC 2.2.1.6)	2	5	4	39	2	75	2	1837	6	61	3	14	2	36	365	151	4577	3749	12	92	289	67	52	3	16	2	28	2
Acetolactate synthase, catabolic (EC 2.2.1.6)	163	0	0	1	8	4	5	1	104	8	0	3	0	1	1	3	1	4	53	1	9	0	5	1	6	2	2	3
Acetyl xylan esterase (EC 3.1.1.41)	3	305	1	68	2	4	3	3	1	2	2718	6	3416	5	2	1	1	2	11	5	3	1	2683	1	3	1839	5	982
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	1378	6236	1716	287	2080	1129	680	251	924	1079	5637	76	2879	777	249	224	25	250	15	208	334	90	2845	1205	162	2281	566	6209
Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	41	220	41	3568	50	3085	37	7359	42	2937	101	1102	118	4620	7199	2242	10575	5491	67	8048	7253	3228	74	35	1263	66	1740	91
Acetyl-CoA:acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	2	4	25	13	2	89	2	2	36	71	2	4	11	4	3	3	2	2	64	4	7	3	4	2	3	2	6	4
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	3	4	21	15	3	646	4	317	256	1003	8	367	9	857	1544	433	162	1460	83	122	1170	929	1321	8	2382	11	1009	6
Acetyl-coenzyme A synthetase (EC 6.2.1.1)	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Acetylglutamate kinase (EC 2.7.2.8)	1	2	2	1	1	27	1	3	51	34	1	47	2	191	11	1	1	1	4	1	19	4	15	1	3	1	44	1
Acetylornithine aminotransferase (EC 2.6.1.11)	1	13	3	2	1	75	1	3	188	113	1	121	1	424	42	1	1	1	2	1	26	14	22	1	1	1	77	1
Acetylornithine aminotransferase 2 (EC 2.6.1.11)	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetylornithine deacetylase (EC 3.5.1.16)	30	1	3	3	3	4	1	13	21	1	3	1	1	4	1	1	1	1	1	1	1	1	67	457	1	1	4	3
Acetyltransferase YpeA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	2
Aconitate hydratase (EC 4.2.1.3)	0	1	1	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	3	0	1	1	1	1	0	0	0	0
Acriflavin resistance protein	10	7	3	313	2	176	3	392	11	206	2	154	3	260	367	169	826	269	5	769	729	233	38	3	359	0	434	1
Activator of the mannose operon (transcriptional antiterminator), BglG family	3	842	2	2	5	2	2	1	4	4	254	2	53	2	3	1	1	2	25	2	1	2	4	3	0	2	0	0
Acyl carrier protein	9445	7149	3165	14097	7272	24365	2529	25677	5834	28711	3474	34271	4081	13608	25914	22330	39352	38158	1616	19649	39670	26699	3879	3423	25952	6972	7382	6538
Acyl carrier protein phosphodiesterase (EC 3.1.4.14)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyl dehydratase	1	1	1	1	2	4	1	1	12	31	1	33	1	70	1	1	1	1	1	1	3	7	1	2	1	1	1	1
Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129)	21	13	23	1218	12	1820	10	2855	70	1717	12	2928	10	1113	2661	1800	3821	3797	329	1974	6535	2509	289	7	1413	5	750	4
acyl-acyl carrier protein synthetase (EC 6.2.1.20)	0	0	0	0	0	1	0	8	0	19	0	19	0	8	36	10	1	14	0	1	0	28	1	0	0	0	0	0
Acyl-CoA hydrolase (EC 3.1.2.20)	0	0	0	0	0	0	0	2	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0
Acyl-CoA thioesterase II (EC 3.1.2.-)	0	0	0	1	0	6	0	2	0	2	0	8	2	7	3	3	0	6	3	3	45	10	0	0	0	0	0	0
Acyl-CoA thioesterase YciA, involved in membrane biogenesis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	1030	1460	397	448	1104	74	431	168	870	275	1264	46	628	227	118	115	24	186	41	231	92	32	573	1600	192	927	363	989
Acylamino-acid-releasing enzyme (EC 3.4.19.1)	4	4	5	4	2	546	3	44	21	958	2	1370	3	1175	176	61	3	63	2	13	377	49	7	3	15	7	261	5
Acylphosphate phosphohydrolase (EC 3.6.1.7), putative	2	2	2	2	2	2	2	2	9	4	4	2	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2
ADA regulatory protein	36	21	13	491	16	1520	10	471	67	1085	9	3974	12	791	5214	847	772	1497	134	699	3116	2249	66	9	447	5	1022	4
Additional periplasmic component NikK of nickel ECF transporter	1	1	1	1	1	13	1	3	2	1	1	1	3	1	2	1	3	10	1	1	1	2	940	1	1	1	1	1
Additional substrate-specific component CbiN of cobalt ECF transporter	1	1	1	1	1	491	4	7	1	1	1	1	1	1	1	1	1	1	1	1	21	1	6	1	40	1	1	1
Adenine deaminase (EC 3.5.4.2)	1	331	1	603	1	614	2	809	5	520	170	193	152	494	754	282	1432	574	3	800	849	502	14	2	180	113	499	59
Adenine phosphoribosyltransferase (EC 2.4.2.7)	3921	17247	7233	10140	10076	4100	4877	7703	9999	8040	9835	4175	6385	5718	4345	4335	933	7857	156	6128	5643	2944	6905	2296	2513	7234	3447	8799
Adenine-specific methyltransferase (EC 2.1.1.72)	1322	2318	1358	1036	1793	574	932	921	1315	1317	1140	3809	870	1124	3206	833	14	1339	105	2115	3160	2068	1499	759	406	694	648	1013
Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Adenosine deaminase (EC 3.5.4.4)	1636	2398	115	5	1875	789	144	9	838	18	855	10	277	38	545	7	32	8	11	4	9	6	66	67	16	656	676	627
Adenosylcobinamide amidohydrolase (EC 3.5.1.90)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	4	6	4	2	3	205	2	4	8	9	3	44	3	58	268	5	2	4	4	4	5	3	67	2	2	2	175	2
Adenosylcobinamide-phosphate synthase	4	4	4	175	2	257	3	296	5	195	2	28	4	128	161	69	520	164	3	221	333	213	31	3	63	1	72	1
Adenosylhomocysteinase (EC 3.3.1.1)	44	27	1963	2610	1328	1449	1591	5436	495	2331	59	428	14	2533	2161	1969	3668	2183	13	1738	3375	1773	4464	12	796	193	1459	33
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)	4	4	3	492	2	269	3	1476	9	1119	3	228	2	913	655	628	959	1910	7	1166	1421	1408	79	4	598	2	580	1
Adenylate cyclase (EC 4.6.1.1)	2173	1562	1251	3137	1996	2041	956	6238	4936	2866	379	1874	417	1461	3257	1263	24	9511	90	3319	7112	5354	1324	562	3377	517	8603	813
Adenylate kinase (EC 2.7.4.3)	31725	42458	42404	72725	67003	12320	28777	45203	27632	41263	39848	21881	15635	32355	27259	27935	9201	26897	1443	40356	45396	18419	54967	21331	33150	16640	35625	10052
Adenylosuccinate lyase (EC 4.3.2.2)	430	9221	8367	17259	13412	4259	4413	8281	3087	8934	2426	10948	3518	8236	8302	4897	2451	12397	273	10688	14322	6365	7174	689	3251	4669	4808	5265
Adenylosuccinate synthetase (EC 6.3.4.4)	719	13544	6223	14564	9926	7990	3344	13846	5228	14670	3169	16074	5077	13197	7209	5762	5390	12857	513	11664	18770	8708	5790	938	6381	13753	7465	13641
Adenylylsulfate kinase (EC 2.7.1.25)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adhesin of unknown specificity SdrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adhesin of unknown specificity SdrE, similar to bone sialoprotein-binding protein Bbp	0	0	0	1	0	2	3	1	0	3	0	5	0	2	0	1	0	1	0	1	3	3	2	0	0	0	0	0
ADP compounds hydrolase NudE (EC 3.6.1.-)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ADP-heptose synthase (EC 2.7.-.-)	2	4	3	529	6	708	3	733	6	407	2	161	3	553	1274	271	1269	618	84	846	977	555	80	9	77	1	189	2
ADP-heptose--lipooligosaccharide heptosyltransferase II (EC 2.4.1.-)	4	6	12	202	14	227	9	460	8	238	2	302	4	149	461	189	394	438	38	275	652	267	123	6	301	2	188	2
ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)	1	1	0	1	0	83	0	0	0	4	0	1	1	3	3	1	0	34	0	5	6	3	88	0	1	1	1	1
ADP-ribose pyrophosphatase (EC 3.6.1.13)	4953	13274	10800	11328	15783	1481	5845	15525	6539	9008	8024	650	3749	6541	5811	6697	823	18093	158	8614	4401	1171	13520	6958	1691	4441	3465	4421
ADP-ribosylglycohydrolase YegU (EC 3.2.-.-)	1	2	13	1	1	19	1	244	9	12	1	104	1	1	113	1	1	1	1	137	217	128	9	1	1	2	11	2
Aerobic C4-dicarboxylate transporter for fumarate, L-malate, D-malate, succunate	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	1	1	1	1	1	2	2	1	3	1	2	1	1098	3	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Aerobic respiration control protein arcA	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Aerobic respiration control sensor protein arcB (EC 2.7.3.-)	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Aerotaxis sensor receptor protein	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0
Agmatinase (EC 3.5.3.11)	0	0	0	0	0	5	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
Agmatine deiminase (EC 3.5.3.12)	1	4	6	53	1	1102	1	129	13	276	1	1504	2	57	257	216	1	1028	89	103	841	592	15	1	231	1	28	2
Agmatine/putrescine antiporter, associated with agmatine catabolism	5763	6524	379	268	1699	35	435	46	5212	688	5559	16	2730	304	13	16	11	22	18	13	19	9	373	5741	22	6989	922	8042
Alanine dehydrogenase (EC 1.4.1.1)	3	1	1	1	1	4	2	2	9	11	1	4	1837	3	2	1	3	2	1	1	5	1	3	6	1	1	1	1
Alanine racemase (EC 5.1.1.1)	1261	4178	2704	3256	4418	1646	1538	2052	1989	3259	2070	342	2000	2105	1383	988	805	1237	61	1739	1520	610	2415	1767	613	3576	1400	3756
Alanine racemase, biosynthetic (EC 5.1.1.1)	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine racemase, catabolic (EC 5.1.1.1)	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Alanyl-tRNA synthetase (EC 6.1.1.7)	3976	5077	5862	6960	7643	4028	3916	6902	8110	9745	2803	8822	2102	8611	5532	3865	1788	8122	349	5544	11580	5119	6589	2255	5056	7366	5202	6547
Alanyl-tRNA synthetase family protein	8	1	0	0	0	33	0	2	16	42	1	29	0	38	4	7	0	1	0	8	19	15	0	0	1	0	6	0
Alcohol dehydrogenase (EC 1.1.1.1)	800	1054	195	862	1010	6796	82	13985	5044	6673	151	68255	305	19766	15312	4088	49	4901	116	6972	20561	9036	374	1253	602	452	19224	236
Alcohol dehydrogenase, zinc-containing	0	0	1	0	1	2	0	1	0	1	0	1	0	3	0	0	0	0	9	0	0	0	2	0	0	0	0	0
Aldehyde dehydrogenase (EC 1.2.1.3)	3	7	5	485	4	433	4	975	8	441	6	234	4	597	1320	185	974	407	6	896	1014	580	5	5	301	1	253	2
Aldehyde dehydrogenase A (EC 1.2.1.22)	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldehyde dehydrogenase B (EC 1.2.1.22)	17	8	6	116	5	385	2	85	62	780	1	2788	5	1277	75	11	38	12	43	76	133	512	118	3	33	2	111	1
Aldose 1-epimerase (EC 5.1.3.3)	1691	1468	281	114	187	624	147	228	882	1349	523	4692	1103	1251	1128	756	12	1569	63	199	5164	1613	252	161	220	293	502	199
Aldose 1-epimerase family protein YphB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Aldose-ketose isomerase YihS	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Alfa-L-rhamnosidase (EC 3.2.1.40)	0	9	3	3	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	12	0	0
Alkaline phosphatase (EC 3.1.3.1)	827	320	53	222	223	814	95	465	497	1659	438	7570	77	1962	1733	1930	10	2372	153	452	7048	3309	59	357	2119	153	530	189
Alkaline phosphatase like protein	943	1821	2389	2433	3015	92	1535	1931	612	1095	1024	832	701	964	1046	1819	14	1562	160	2775	1512	482	2126	1166	808	617	625	887
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	370	22	26	3268	8	332	13	2821	2964	693	8	1957	10	742	2720	1648	7	5078	35	2828	8189	5587	116	10	2096	16	8093	9
Alkanesulfonate monooxygenase (EC 1.14.14.5)	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkanesulfonate utilization operon LysR-family regulator CbI	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Alkanesulfonates ABC transporter ATP-binding protein	19	15	11	619	51	88	5	1192	194	1124	2	438	2	373	255	428	10	1715	4	346	1419	1028	15	23	400	2	547	2
Alkanesulfonates transport system permease protein	13	5	2	254	2	296	4	218	351	575	1	136	3	261	245	84	3	2964	4	240	623	1048	11	1	202	3	1735	2
Alkanesulfonates-binding protein	23	10	6	1132	3	525	309	1675	502	1945	3	686	6	1428	800	338	3	6088	3	683	1474	1748	1009	5	243	2	515	3
Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)	2769	697	789	53304	618	35041	283	42591	9854	53453	274	134872	1574	40573	42420	16279	21998	30672	1769	47232	78929	111330	1912	962	38224	39	16698	49
Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)	280	34	42	1142	49	1148	15	1888	1568	2291	15	13157	13	677	1269	1273	16	1533	316	735	5438	8140	161	188	2353	8	656	5
Alkyl hydroperoxide reductase subunit C-like protein	1	1	4	1	1	1194	3	5	20	31	2	78	1	15	117	3	1	1	1	2	4	1	22	1	5	1	6	1
Alkylated DNA repair protein AlkB	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkylhydroperoxidase protein D	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alkylphosphonate utilization operon protein PhnA	1	4	1	1	1	2	2	3	1	13	1	1	1	1	3	1	1	1	20	2	52	32	1	1	1	1	1	1
Allantoin permease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Allantoinase (EC 3.5.2.5)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
Allophanate hydrolase 2 subunit 1 (EC 3.5.1.54)	1	4	2	1	2	43	1	3	4	29	1	40	1	102	1	3	1	1	1	1	7	6	24	1	2	1	2	1
Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	2	4	1	1	3	44	2	2	5	42	1	35	1	117	2	5	1	1	1	2	15	12	27	2	3	1	6	1
Alpha-1,2-mannosidase	4	9	6	142	4	386	4	145	35	457	1	2563	3	170	934	982	3	1398	347	222	3391	1338	34	3	277	2	223	2
Alpha-1,3-N-acetylgalactosamine transferase PglA (EC 2.4.1.-)	1	2	2	42	0	252	3	75	2	136	0	1203	3	75	189	5	2	49	38	106	1561	724	3	2	725	1	92	1
Alpha-1,4-N-acetylgalactosamine transferase PglH (EC 2.4.1.-)	1	1	1	32	1	5	1	6	1	65	1	3	1	9	19	2	1	7	58	1	53	8	20	1	2	1	16	1
Alpha-2-macroglobulin	1	1	0	0	0	23	1	1	0	12	0	7	0	2	3	3	0	4	0	5	20	5	1	0	0	0	0	0
Alpha-acetolactate decarboxylase (EC 4.1.1.5)	4	1	1	5	1	1	2	2	60	1	1	1	1	1	1	1	1	1	44	1	1	1	3	1	6	11	4	10
Alpha-amylase (EC 3.2.1.1)	10	12	9	116	4	1141	7	244	43	444	3	5428	5	445	1277	1686	5	2157	176	450	4562	1829	29	5	587	2	353	2
Alpha-amylase (Neopullulanase) SusA (EC 3.2.1.135)	4	8	5	118	5	708	5	78	23	388	2	2541	4	244	545	814	4	1653	72	156	3244	1178	17	4	184	1	178	1
Alpha-arabinosides ABC transport system, substrate-binding protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)	1	1	3	1	1	35	1	2	1	144	1	93	2	3	15	134	1	7	2	27	7	1	1	1	1	1	1	1
Alpha-D-GlcNAc alpha-1,2-L-rhamnosyltransferase (EC 2.4.1.-)	0	0	1	0	1	0	1	3	0	3	1	0	0	2	0	0	0	0	60	1	1	0	1	128	0	0	0	0
Alpha-galactosidase (EC 3.2.1.22)	270	621	6	7	43	103	91	34	490	139	356	42	470	59	265	200	8	355	10	85	684	314	79	586	304	469	68	486
Alpha-glucosidase (EC 3.2.1.20)	5611	9	2360	2347	2517	54	1176	1603	285	1662	28	32	9	971	1037	1109	11	1469	12	1469	598	111	1374	9	418	48	389	11
Alpha-glucosidase SusB (EC 3.2.1.20)	2	8	4	87	4	577	3	72	11	354	2	3845	4	215	773	1112	1	2496	68	157	3765	1547	11	1	365	1	168	0
Alpha-glucoside transport ATP-binding protein AglK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Alpha-glucosides-binding periplasmic protein AglE precursor	44	0	2	0	0	3	0	12	1	18	0	88	0	33	0	0	0	8	0	3	1	5	0	0	2	0	5	0
Alpha-glycerophosphate oxidase (EC 1.1.3.21)	8	27	7	8	295	6	328	1603	14	13	52	15	10	21	72	345	12	314	39	4704	2061	9	11662	9	617	0	2606	2
Alpha-hemolysin precursor	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Alpha-L-arabinofuranosidase II precursor (EC 3.2.1.55)	11	0	0	0	0	1	0	2	0	0	0	1	0	0	73	0	0	0	0	11	4	1	0	0	0	0	1	0
Alpha-L-fucosidase (EC 3.2.1.51)	0	0	1	76	0	42	0	4	4	62	1	2	0	21	87	7	0	5	89	0	99	27	10	0	5	0	3	0
Alpha-L-Rha alpha-1,2-L-rhamnosyltransferase/alpha-L-Rha alpha-1,3-L- rhamnosyltransferase (EC 2.4.1.-)	50	1	1	0	0	6	1	17	747	19	0	11	1	9	185	5	1	20	0	73	274	128	6	4	7	0	16	0
